bhk,type,area,region,status,age,final_price_lakhs
2,0,6.530877627725885,206,1,0,226.0
2,0,6.530877627725885,206,1,0,226.0
3,0,7.1204443723924875,206,1,0,408.0
3,0,7.1204443723924875,206,1,0,408.0
2,0,6.910750787961936,173,1,0,47.45
2,0,6.910750787961936,173,1,0,47.45
1,0,6.734591659972948,173,1,0,38.27
1,0,6.734591659972948,173,1,0,38.27
1,0,6.555356891810665,173,1,0,31.99
1,0,6.555356891810665,173,1,0,31.99
2,0,6.93828448401696,173,1,0,48.78
2,0,6.93828448401696,173,1,0,48.78
2,0,6.93537044601511,173,1,0,48.63
2,0,6.93537044601511,173,1,0,48.63
1,0,6.594413459749778,173,1,0,33.26
1,0,6.594413459749778,173,1,0,33.26
1,0,6.673297967767654,173,1,0,36.0
1,0,6.673297967767654,173,1,0,36.0
2,0,6.85751406254539,173,1,0,44.99
2,0,6.85751406254539,173,1,0,44.99
2,0,6.96979066990159,173,1,0,50.34
2,0,6.96979066990159,173,1,0,50.34
2,0,6.964135612418245,173,1,0,50.05
2,0,6.964135612418245,173,1,0,50.05
2,0,6.9167150203536085,173,1,0,47.73
2,0,6.9167150203536085,173,1,0,47.73
2,0,6.976348070447749,173,1,0,50.67
2,0,6.976348070447749,173,1,0,50.67
1,0,6.70073110954781,173,1,0,37.0
1,0,6.70073110954781,173,1,0,37.0
2,0,6.920671504248683,173,1,0,47.92
2,0,6.920671504248683,173,1,0,47.92
1,0,6.608000625296087,147,0,0,39.22
1,0,6.608000625296087,147,0,0,39.22
2,0,6.952728644624869,147,0,0,55.38
2,0,6.952728644624869,147,0,0,55.38
1,0,6.53813982376767,147,0,0,36.57
1,0,6.53813982376767,147,0,0,36.57
2,0,6.990256500493881,147,0,0,57.5
2,0,6.990256500493881,147,0,0,57.5
2,0,6.966967138613983,147,0,0,56.18
2,0,6.966967138613983,147,0,0,56.18
1,0,6.679599185844383,147,0,0,42.13
1,0,6.679599185844383,147,0,0,42.13
1,0,5.953243334287785,152,1,0,91.01
1,0,5.953243334287785,152,1,0,91.01
2,0,6.326149473155099,152,1,0,132.0
2,0,6.326149473155099,152,1,0,132.0
2,0,6.324358962381311,152,1,0,132.0
2,0,6.324358962381311,152,1,0,132.0
2,0,6.428105272684596,152,1,0,146.0
2,0,6.428105272684596,152,1,0,146.0
1,0,6.218600119691729,173,0,0,29.5
1,0,5.991464547107982,173,0,0,24.5
1,0,6.089044875446846,173,0,0,26.5
2,0,6.455198563340122,173,0,0,36.5
2,0,6.345636360828596,173,0,0,33.0
1,0,6.142037405587356,173,0,0,27.5
1,0,6.0473721790462776,173,0,0,26.0
2,0,6.843749949006225,219,1,0,135.0
2,0,6.852242569051878,219,1,0,144.0
5,0,7.666690200080086,219,1,0,314.0
3,0,7.089243155027514,219,1,0,179.0
6,0,7.781973234434385,219,1,0,359.0
3,0,7.4377951216719325,219,1,0,248.0
3,0,6.79794041297493,47,1,0,142.0
2,0,6.400257445308821,47,1,0,97.92
2,0,6.522092798170152,106,1,0,124.0
3,0,6.78897174299217,106,1,0,187.0
2,0,6.541029999189903,132,1,0,53.0
1,0,6.1903154058531475,132,1,0,36.99
1,0,6.246106765481563,204,1,0,75.0
1,0,6.059123195581797,192,1,0,102.0
1,0,5.942799375126701,192,1,0,91.2
2,0,6.249975242259483,192,1,0,124.0
1,0,6.480044561926653,206,0,1,20.0
2,0,6.90875477931522,173,0,1,32.0
1,0,6.480044561926653,206,0,1,20.0
1,0,6.480044561926653,206,0,1,20.0
1,0,6.480044561926653,206,0,1,20.0
1,0,6.480044561926653,206,0,1,20.0
1,0,6.480044561926653,206,0,1,20.0
1,0,6.480044561926653,206,0,1,20.0
2,0,6.85751406254539,110,1,1,80.0
2,0,6.85751406254539,213,1,1,55.0
1,0,6.478509642208569,206,0,1,20.0
4,0,7.650168700845001,62,0,1,325.0
1,0,6.580639137284949,170,1,1,47.0
3,0,7.333676395657684,152,0,1,285.0
1,0,6.480044561926653,206,0,1,20.0
1,0,6.480044561926653,206,0,1,20.0
1,0,6.478509642208569,206,0,1,20.0
1,0,6.329720905522696,30,0,1,25.0
1,0,6.480044561926653,206,0,1,20.0
1,0,5.993961427306569,186,1,1,79.8
1,0,6.274762021241939,42,0,1,22.79
2,0,6.825460036255307,170,1,1,65.0
1,0,6.311734809152915,102,0,1,25.0
1,0,6.478509642208569,149,1,1,20.0
